date,team_name,opponent,xGF,xGA,xGF%,CF%,FF%,SF%,HDCF%,SCF%,PDO
2021-10-23,Vancouver Canucks,Seattle Kraken,1.03,1.89,35.22,49.47,45.33,43.75,15.38,26.47,1.021
2021-10-24,Boston Bruins,San Jose Sharks,1.48,0.58,71.92,58.44,65.0,64.29,66.67,66.67,0.911
2021-10-24,San Jose Sharks,Boston Bruins,0.58,1.48,28.08,41.56,35.0,35.71,33.33,33.33,1.089
2021-10-24,Chicago Blackhawks,Detroit Red Wings,1.37,2.63,34.19,46.05,40.35,31.82,47.06,34.09,0.976
2021-10-24,Detroit Red Wings,Chicago Blackhawks,2.63,1.37,65.81,53.95,59.65,68.18,52.94,65.91,1.024
2021-10-24,Minnesota Wild,Nashville Predators,1.37,1.88,42.06,58.44,55.93,57.14,41.67,43.59,0.917
2021-10-24,Nashville Predators,Minnesota Wild,1.88,1.37,57.94,41.56,44.07,42.86,58.33,56.41,1.083
2021-10-24,New York Islanders,Vegas Golden Knights,2.88,2.58,52.79,39.81,43.04,41.51,52.0,46.67,1.091
2021-10-24,Vegas Golden Knights,New York Islanders,2.58,2.88,47.21,60.19,56.96,58.49,48.0,53.33,0.909
2021-10-25,Buffalo Sabres,Tampa Bay Lightning,1.44,2.35,38.02,38.3,39.44,38.3,37.5,42.55,1.132
2021-10-25,Tampa Bay Lightning,Buffalo Sabres,2.35,1.44,61.98,61.7,60.56,61.7,62.5,57.45,0.868
2021-10-25,Ottawa Senators,Washington Capitals,2.3,2.1,52.25,44.33,46.67,49.15,56.0,44.64,0.905
2021-10-25,Washington Capitals,Ottawa Senators,2.1,2.3,47.75,55.67,53.33,50.85,44.0,55.36,1.095
2021-10-25,Arizona Coyotes,Florida Panthers,0.85,2.11,28.8,33.72,33.33,31.91,16.67,36.11,1.138
2021-10-25,Florida Panthers,Arizona Coyotes,2.11,0.85,71.2,66.28,66.67,68.09,83.33,63.89,0.863
2021-10-25,Calgary Flames,New York Rangers,2.16,2.58,45.53,52.94,53.42,58.18,31.82,53.57,1.05
2021-10-25,New York Rangers,Calgary Flames,2.58,2.16,54.47,47.06,46.58,41.82,68.18,46.43,0.95
2021-10-25,Carolina Hurricanes,Toronto Maple Leafs,2.56,2.55,50.1,51.02,55.84,58.18,58.33,50.0,1.05
2021-10-25,Toronto Maple Leafs,Carolina Hurricanes,2.55,2.56,49.9,48.98,44.16,41.82,41.67,50.0,0.95
2021-10-25,Columbus Blue Jackets,Dallas Stars,2.0,1.5,57.11,51.35,47.37,44.74,68.75,56.76,1.176
2021-10-25,Dallas Stars,Columbus Blue Jackets,1.5,2.0,42.89,48.65,52.63,55.26,31.25,43.24,0.824
2021-10-25,Los Angeles Kings,St Louis Blues,1.35,1.62,45.48,42.5,45.31,44.0,64.29,41.86,0.929
2021-10-25,St Louis Blues,Los Angeles Kings,1.62,1.35,54.52,57.5,54.69,56.0,35.71,58.14,1.071
2021-10-26,Calgary Flames,New Jersey Devils,1.67,1.46,53.26,52.81,52.38,50.0,57.14,55.0,1.043
2021-10-26,New Jersey Devils,Calgary Flames,1.46,1.67,46.74,47.19,47.62,50.0,42.86,45.0,0.957
2021-10-26,Pittsburgh Penguins,Tampa Bay Lightning,1.58,1.55,50.43,50.0,49.18,44.9,53.85,42.5,0.889
2021-10-26,Tampa Bay Lightning,Pittsburgh Penguins,1.55,1.58,49.57,50.0,50.82,55.1,46.15,57.5,1.111
2021-10-26,Nashville Predators,San Jose Sharks,1.55,1.47,51.36,48.72,50.0,50.0,40.0,54.05,1.0
2021-10-26,San Jose Sharks,Nashville Predators,1.47,1.55,48.64,51.28,50.0,50.0,60.0,45.95,1.0
2021-10-26,Colorado Avalanche,Vegas Golden Knights,1.86,1.12,62.51,57.3,53.45,53.49,57.14,59.52,0.95
2021-10-26,Vegas Golden Knights,Colorado Avalanche,1.12,1.86,37.49,42.7,46.55,46.51,42.86,40.48,1.05
2021-10-26,Minnesota Wild,Vancouver Canucks,2.41,0.98,71.04,52.7,58.49,60.47,62.5,60.98,1.057
2021-10-26,Vancouver Canucks,Minnesota Wild,0.98,2.41,28.96,47.3,41.51,39.53,37.5,39.02,0.943
2021-10-26,Anaheim Ducks,Winnipeg Jets,2.63,2.17,54.72,52.69,55.56,58.33,57.69,53.45,0.957
2021-10-26,Winnipeg Jets,Anaheim Ducks,2.17,2.63,45.28,47.31,44.44,41.67,42.31,46.55,1.043
2021-10-26,Montreal Canadiens,Seattle Kraken,1.28,1.31,49.27,43.48,49.02,50.0,22.22,47.06,0.8
2021-10-26,Seattle Kraken,Montreal Canadiens,1.31,1.28,50.73,56.52,50.98,50.0,77.78,52.94,1.2
2021-10-27,Boston Bruins,Florida Panthers,1.5,1.39,51.83,48.19,45.0,45.24,55.56,46.15,0.922
2021-10-27,Florida Panthers,Boston Bruins,1.39,1.5,48.17,51.81,55.0,54.76,44.44,53.85,1.078
2021-10-27,Detroit Red Wings,Washington Capitals,1.3,2.22,36.9,52.63,47.54,48.78,23.53,44.44,1.1
2021-10-27,Washington Capitals,Detroit Red Wings,2.22,1.3,63.1,47.37,52.46,51.22,76.47,55.56,0.9
2021-10-27,Chicago Blackhawks,Toronto Maple Leafs,1.58,1.9,45.32,34.44,39.39,40.43,57.14,47.37,0.981
2021-10-27,Toronto Maple Leafs,Chicago Blackhawks,1.9,1.58,54.68,65.56,60.61,59.57,42.86,52.63,1.019
2021-10-27,Dallas Stars,Vegas Golden Knights,3.03,0.9,77.14,57.8,66.67,68.0,69.57,67.69,0.996
2021-10-27,Vegas Golden Knights,Dallas Stars,0.9,3.03,22.86,42.2,33.33,32.0,30.43,32.31,1.004
2021-10-27,Edmonton Oilers,Philadelphia Flyers,1.87,2.21,45.81,59.57,54.93,51.85,35.0,57.45,0.918
2021-10-27,Philadelphia Flyers,Edmonton Oilers,2.21,1.87,54.19,40.43,45.07,48.15,65.0,42.55,1.082
2021-10-28,Arizona Coyotes,Tampa Bay Lightning,1.69,1.59,51.5,55.26,59.02,52.38,40.0,46.67,0.845
2021-10-28,Tampa Bay Lightning,Arizona Coyotes,1.59,1.69,48.5,44.74,40.98,47.62,60.0,53.33,1.155
2021-10-28,Calgary Flames,Pittsburgh Penguins,1.91,2.9,39.66,44.95,44.44,45.45,41.18,45.28,1.133
